Id,thetao,chl,Lat,Lon
87513,23.2689,0.246682,-6.879081336,105.5374147
87541,23.2689,0.246682,-6.883248003,105.5290813
87845,21.9934,0.289332,-6.929081337,105.808248
87873,23.0011,0.289332,-6.933248004,105.733248
87874,21.9934,0.289332,-6.933248004,105.7917522
87903,23.0011,0.289332,-6.93741467,105.7790813
87904,23.0011,0.289332,-6.937585569,105.7874147
87905,21.9454,0.294508,-6.93741467,105.8999147
87906,22.2978,0.294508,-6.93741467,106.0165813
87940,23.0011,0.289332,-6.941581337,105.770748
87962,21.9934,0.289332,-6.945748004,105.8040813
88002,23.0011,0.289332,-6.95232149,105.7788884
88035,23.0011,0.289332,-6.95809033,105.7564678
88036,23.0011,0.289332,-6.958248004,105.770748
88038,22.323,-9999,-6.958963437,106.4331905
88134,21.6754,-9999,-6.974914671,106.1915813
88267,22.4695,0.246682,-6.991581337,105.5999147
88331,22.323,-9999,-6.999914671,106.4042522
88366,22.323,-9999,-7.004252236,106.3999147
88398,22.323,-9999,-7.008248004,106.3915813
90819,24.5496,0.30415,-7.229081339,104.8374147
91400,24.0272,0.231966,-7.26658134,105.3290813
91874,25.3718,0.256679,-7.295748006,105.0624147
91954,25.3718,0.256679,-7.299914673,105.0790813
92020,23.5066,0.217539,-7.30408134,105.8374147
92578,23.2062,0.233344,-7.337414673,105.908248
93140,20.7012,-9999,-7.374902359,106.408292
93407,25.8918,0.244307,-7.395748007,105.333248
93408,24.9316,0.307684,-7.395748007,105.7499147
93803,25.9575,0.244307,-7.433248008,105.258248
93805,23.4361,0.673091,-7.433333457,106.7000001
93807,24.4901,0.673091,-7.433248008,106.7165813
94172,22.5914,-9999,-7.466581341,107.0749147
94221,22.5914,-9999,-7.470748008,107.1249147
94260,22.5032,-9999,-7.474914675,107.158248
94336,25.8054,0.276027,-7.483248008,104.3999146
94337,22.5032,-9999,-7.483248008,107.1915813
94852,26.0341,0.276027,-7.533248008,104.5665813
94853,26.2697,0.244307,-7.533248008,105.2290813
94933,23.672,0.673091,-7.541581342,106.6915813
94975,21.4676,-9999,-7.545590334,107.5064678
95015,25.9414,0.303837,-7.549914675,104.345748
95056,26.1601,0.246741,-7.554081342,104.7249147
95107,26.1756,0.244307,-7.558248009,105.1624147
95145,21.4676,-9999,-7.562414675,107.483248
95244,26.2035,0.246741,-7.570748009,104.6790813
95318,25.8287,0.303837,-7.579982728,104.2715377
95797,26.1949,0.459723,-7.633248009,105.6415813
95961,26.1371,0.516859,-7.658248009,106.3665813
96033,26.1588,0.516859,-7.670748009,106.1790813
96034,26.1254,0.584971,-7.670748009,106.395748
96085,26.1406,0.323764,-7.679081343,104.3249146
96086,26.2447,0.432613,-7.679081343,105.1290813
96087,20.5377,1.31862,-7.679081343,107.633248
96117,26.1177,0.323764,-7.68324801,104.2290813
96118,26.1371,0.516859,-7.68324801,106.3124147
96119,26.1254,0.584971,-7.68324801,106.408248
96170,26.1371,0.516859,-7.691581343,106.308248
96218,26.2089,0.452415,-7.699914676,105.4999147
96240,26.1371,0.516859,-7.704081343,106.3624147
96356,25.8097,-9999,-7.725669367,109.0259673
96368,26.2075,0.399317,-7.729081343,104.9915813
96419,25.1505,-9999,-7.741581343,109.095748
96436,25.8097,-9999,-7.74574801,109.0250856
96437,25.1505,-9999,-7.746137957,109.0666668
96449,20.9177,-9999,-7.749914677,107.9749147
96450,25.8097,-9999,-7.750084002,109.0213904
96451,25.1505,-9999,-7.750000126,109.0628046
96453,25.1505,-9999,-7.74719217,109.1064807
96470,25.8097,-9999,-7.758331987,109.0212595
96483,25.1505,-9999,-7.762414677,109.058248
96484,25.1505,-9999,-7.762414677,109.0665814
96493,26.1275,0.584971,-7.766581344,106.4499147
96494,25.4826,-9999,-7.766581344,108.7415814
96495,25.1505,-9999,-7.766666793,109.0708335
96496,25.1505,-9999,-7.766581344,109.0792523
96501,26.1828,0.323764,-7.77074801,104.270748
96502,25.1505,-9999,-7.77074801,109.058248
96503,25.1505,-9999,-7.770528962,109.0750001
96504,26.1119,-9999,-7.77074801,109.4499147
96505,25.3826,-9999,-7.770590336,109.4606345
96520,26.1387,0.516859,-7.779081344,106.3124147
96521,26.1275,0.584971,-7.779081344,106.4540813
96522,21.8034,1.31862,-7.779081344,107.745748
96527,26.1119,-9999,-7.78324801,109.4374147
96529,26.1172,0.584971,-7.787414677,106.4665813
96537,26.0848,0.68997,-7.79574801,106.8415813
96538,25.8663,-9999,-7.79574801,108.4999147
96544,26.0932,0.584971,-7.804081344,106.595748
96546,26.184,0.516859,-7.808248011,106.2874147
96547,26.1468,0.584971,-7.806965933,106.4235648
96548,26.0932,0.584971,-7.808418909,106.6000856
96551,25.7274,-9999,-7.812414677,109.0499147
96553,26.1468,0.584971,-7.816581344,106.420748
96554,25.7274,-9999,-7.816581344,109.0874147
96555,25.2067,-9999,-7.816581344,109.745748
96559,25.6821,-9999,-7.820748011,109.0415814
96560,25.7274,-9999,-7.821137958,109.0583335
96561,25.7274,-9999,-7.820918909,109.0917523
96564,26.0932,0.584971,-7.824914677,106.545748
96568,26.1744,0.323764,-7.827321497,104.1663884
96569,26.1207,0.584971,-7.829081344,106.5374147
96571,25.7274,-9999,-7.829166793,109.0583335
96572,26.1705,0.323764,-7.833248011,104.3540813
96573,26.0826,0.68997,-7.831488164,106.6747217
96576,26.1138,0.399317,-7.837414677,105.1165813
96577,26.0826,0.68997,-7.837257003,106.6856345
96578,26.1804,0.344088,-7.841581344,104.4499147
96579,26.0826,0.68997,-7.841752243,106.6917522
96580,26.1804,0.344088,-7.845918909,104.4542522
96582,26.2091,0.323764,-7.849914678,104.2499146
96587,26.1486,0.344088,-7.854081344,104.5249147
96590,26.171,0.516859,-7.858248011,106.3124147
96594,26.1486,0.344088,-7.866581344,104.5040813
96595,26.184,0.516859,-7.866581344,106.2415813
96603,26.0826,0.68997,-7.874914678,106.6290813
96609,26.1116,0.367024,-7.887414678,104.5124147
96610,26.1108,0.366455,-7.887414678,104.7040813
96611,26.1154,0.366455,-7.887414678,104.7749147
96612,26.2281,0.369061,-7.887414678,106.5874147
96613,26.1351,0.420385,-7.887414678,107.0749147
96616,26.2349,0.352215,-7.891581345,106.358248
96619,26.1418,0.36381,-7.895748011,103.9040813
96620,26.2349,0.352215,-7.895748011,106.3249147
96621,26.2349,0.352215,-7.895748011,106.3374147
96623,26.2413,0.369061,-7.899914678,106.4499147
96624,26.1351,0.420385,-7.899914678,107.0665813
96630,26.2349,0.352215,-7.904081345,106.3042522
96631,26.1435,0.420385,-7.904081345,106.983248
96634,26.2281,0.369061,-7.906488164,106.5830551
96636,26.0233,0.352639,-7.912414678,103.8624146
96637,26.2226,0.352215,-7.912414678,106.2290813
96638,26.2349,0.352215,-7.910199102,106.299757
96639,26.1351,0.420385,-7.912414678,107.0790813
96641,26.2349,0.352215,-7.916581345,106.3624147
96642,26.1351,0.420385,-7.916581345,107.0624147
96646,26.1123,0.346254,-7.923154831,105.4705551
96647,26.1351,0.420385,-7.924914678,107.0540813
96649,26.1553,0.368708,-7.929081345,104.358248
96650,26.1104,0.610525,-7.929081345,108.8540814
96653,26.1108,0.366455,-7.933248012,104.6874147
96654,26.1435,0.420385,-7.933248012,107.0415813
96660,26.1507,0.343897,-7.937414678,105.9374147
96673,26.1104,0.610525,-7.954081345,108.8374147
96675,26.186,0.36381,-7.962414678,103.8874146
96676,26.1212,0.366455,-7.962414678,104.8165813
96677,26.4379,0.610525,-7.962414678,108.8499147
96679,26.1005,0.352639,-7.966581345,103.8290813
96680,26.186,0.36381,-7.966581345,103.9499146
96681,26.2513,0.420385,-7.966581345,107.0624147
96682,26.2513,0.420385,-7.966581345,107.1249147
96685,26.1583,0.356952,-7.970748012,105.2124147
96686,26.2279,0.369061,-7.970748012,106.5499147
96688,26.1212,0.366455,-7.974914679,104.845748
96689,26.3383,0.60456,-7.974914679,108.558248
96692,26.1107,0.368708,-7.979081345,104.3540813
96697,26.097,0.367024,-7.987414679,104.5499147
96698,26.1261,0.366455,-7.987414679,104.7165813
96699,26.2431,0.441007,-7.987414679,107.1790813
96700,26.4719,0.68123,-7.987414679,109.0124147
96701,26.1212,0.366455,-7.991581345,104.7999147
96702,26.4379,0.610525,-7.991581345,108.8749147
96703,26.4719,0.68123,-7.991581345,108.9915814
96710,26.2522,0.420385,-7.995748012,107.0290813
96711,26.3973,0.610525,-7.995748012,108.720748
96712,26.4878,0.68123,-7.995748012,108.908248
96714,26.1212,0.366455,-7.999914679,104.8124147
96715,26.1131,0.343897,-7.999914679,105.9165813
96716,26.2522,0.420385,-8.000085577,107.0334189
96717,26.2311,0.441007,-7.999914679,107.2374147
96718,26.4719,0.68123,-7.999914679,108.9665814
96723,26.1559,0.36381,-8.004081345,104.0374146
96724,26.1011,0.368708,-8.004081345,104.2874146
96725,26.1107,0.368708,-8.004081345,104.358248
96726,26.1402,0.352215,-8.004081345,106.270748
96727,26.2429,0.3936,-8.004081345,106.783248
96728,26.2431,0.441007,-8.004081345,107.1665813
96729,26.2431,0.441007,-8.004081345,107.195748
96730,26.4878,0.68123,-8.004081345,108.8874147
96731,26.4719,0.68123,-8.004081345,109.0165814
96737,26.2431,0.441007,-8.008248012,107.1584189
96738,26.4878,0.68123,-8.008248012,108.9249147
96741,26.097,0.367024,-8.012414679,104.608248
96742,26.2522,0.420385,-8.012414679,107.033248
96743,26.2513,0.420385,-8.012414679,107.0915813
96744,26.2513,0.420385,-8.012414679,107.1165813
96745,26.2431,0.441007,-8.012585577,107.1540813
96746,26.2431,0.441007,-8.012414679,107.1915813
96747,26.4379,0.610525,-8.012414679,108.8499147
96748,26.4379,0.610525,-8.012414679,108.8624147
96749,26.4878,0.68123,-8.012414679,108.9499147
96750,26.4719,0.68123,-8.012414679,108.9999147
96754,26.2507,0.420385,-8.016581346,106.9249147
96755,26.2513,0.420385,-8.016752244,107.0959189
96756,26.2513,0.420385,-8.016581346,107.1249147
96760,26.2513,0.420385,-8.020748012,107.058248
96767,26.2429,0.3936,-8.024914679,106.758248
96768,26.2431,0.441007,-8.024914679,107.1874147
96769,26.097,0.367024,-8.029081346,104.570748
96770,26.2507,0.420385,-8.029081346,106.8790813
96771,26.2431,0.441007,-8.029081346,107.170748
96774,26.1645,0.352215,-8.033248012,106.2999147
96775,26.2467,0.3936,-8.033248012,106.8415813
96776,26.2513,0.420385,-8.033248012,107.045748
96777,26.1536,1.04753,-8.033248012,109.545748
96779,26.1607,0.356952,-8.037414679,105.3040813
96780,26.2467,0.3936,-8.037414679,106.8290813
96781,26.2507,0.420385,-8.037414679,106.8999147
96782,26.2522,0.420385,-8.037414679,106.970748
96783,26.2522,0.420385,-8.037414679,106.9790813
96784,26.2311,0.441007,-8.037414679,107.2124147
96787,26.1573,0.346254,-8.041581346,105.5124147
96788,26.2393,0.3936,-8.041581346,106.6290813
96789,26.2429,0.3936,-8.041581346,106.783248
96790,26.2507,0.420385,-8.041581346,106.8874147
96791,26.2513,0.420385,-8.041581346,107.058248
96792,26.2513,0.420385,-8.041581346,107.0665813
96793,26.2513,0.420385,-8.041581346,107.120748
96794,26.2431,0.441007,-8.041581346,107.1415813
96795,26.2311,0.441007,-8.041581346,107.2249147
96796,26.1536,1.04753,-8.041581346,109.558248
96797,26.2804,0.441007,-8.045748012,107.1915813
96798,26.4594,0.68123,-8.045748012,109.095748
96802,26.2551,0.420385,-8.049914679,107.1084189
96803,26.4544,1.04753,-8.049914679,109.520748
96808,26.1737,0.366455,-8.054081346,104.645748
96809,26.1737,0.366455,-8.054081346,104.683248
96810,26.1964,0.3936,-8.054081346,106.8415813
96811,26.225,0.420385,-8.054081346,106.995748
96812,26.2551,0.420385,-8.053862297,107.0666668
96813,26.2551,0.420385,-8.054252244,107.1040813
96814,26.2804,0.441007,-8.054081346,107.1415813
96815,26.4953,0.68123,-8.054081346,109.020748
96816,26.4594,0.68123,-8.054081346,109.0999147
96817,26.4381,1.04753,-8.054081346,109.5915814
96824,26.1737,0.366455,-8.058418911,104.6500856
96825,26.1737,0.366455,-8.058248013,104.6749147
96826,26.1703,0.343897,-8.058248013,105.983248
96827,26.1289,0.352215,-8.058248013,106.2124147
96828,26.1866,0.3936,-8.058248013,106.7874147
96829,26.225,0.420385,-8.058248013,107.008248
96837,26.1733,0.3936,-8.062414679,106.6665813
96838,26.1964,0.3936,-8.062414679,106.8540813
96839,26.2551,0.420385,-8.062414679,107.083248
96840,26.2804,0.441007,-8.062414679,107.1665813
96841,26.2804,0.441007,-8.062414679,107.1915813
96842,26.2977,0.441007,-8.062414679,107.2749147
96850,26.2977,0.441007,-8.066581346,107.2915813
96851,26.4544,1.04753,-8.066581346,109.4624147
96856,26.0818,0.352639,-8.070748013,103.783248
96857,26.13,0.369061,-8.070748013,106.4790813
96858,26.1866,0.3936,-8.070748013,106.745748
96859,26.206,0.420385,-8.070748013,106.9499147
96860,26.2804,0.441007,-8.070748013,107.1499147
96867,26.0474,0.352639,-8.074914679,103.6499146
96868,26.2551,0.420385,-8.074757005,107.0939678
96869,26.2977,0.441007,-8.074914679,107.2124147
96870,26.2977,0.441007,-8.074914679,107.233248
